height,miner_address,reward_bina,total_mined_bina,timestamp_unix
321,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16050,1783172686
322,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16100,1783172694
323,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16150,1783172717
324,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16200,1783172737
325,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16250,1783172759
326,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16300,1783172769
327,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16350,1783172770
328,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16400,1783172781
329,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16450,1783172795
330,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16500,1783172819
331,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16550,1783172829
332,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16600,1783172829
333,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16650,1783172854
334,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16700,1783172862
335,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16750,1783172870
336,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16800,1783172902
337,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16850,1783172902
338,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16900,1783172931
339,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,16950,1783172955
1,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17000,1783172995
2,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17050,1783173007
3,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17100,1783173014
4,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17150,1783173019
5,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17200,1783173022
6,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17250,1783173042
7,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17300,1783173053
8,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17350,1783173085
9,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17400,1783173086
10,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17450,1783173109
11,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17500,1783173111
12,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17550,1783173144
13,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17600,1783173154
14,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17650,1783173167
15,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17700,1783173177
16,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17750,1783173194
17,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17800,1783173205
18,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17850,1783173209
19,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17900,1783173209
1,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,17950,1783173221
2,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18000,1783173244
3,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18050,1783173252
4,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18100,1783173262
5,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18150,1783173275
6,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18200,1783173280
7,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18250,1783173295
8,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18300,1783173299
9,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18350,1783173316
10,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18400,1783173316
11,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18450,1783173320
12,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18500,1783173327
13,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18550,1783173347
14,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18600,1783173366
15,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18650,1783173397
16,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18700,1783173402
17,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18750,1783173414
18,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18800,1783173478
19,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18850,1783173486
20,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18900,1783173492
21,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,18950,1783173501
22,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19000,1783173512
23,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19050,1783173513
24,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19100,1783173530
25,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19150,1783173534
26,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19200,1783173557
27,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19250,1783173569
28,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19300,1783173581
29,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19350,1783173594
30,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19400,1783173603
31,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19450,1783173611
32,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19500,1783173627
33,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19550,1783173645
34,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19600,1783173648
35,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19650,1783173667
36,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19700,1783173683
37,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19750,1783173684
38,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19800,1783173690
39,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19850,1783173719
40,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19900,1783173730
41,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,19950,1783173749
42,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20000,1783173759
43,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20050,1783173774
44,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20100,1783173778
45,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20150,1783173799
46,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20200,1783173801
47,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20250,1783173805
48,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20300,1783173826
49,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20350,1783173841
50,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20400,1783173853
51,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20450,1783173877
52,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20500,1783173918
53,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20550,1783173922
54,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20600,1783173945
55,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20650,1783173947
56,3054ac8bc5c9b358e270e17183851201d0bc6b69,50,20700,1783173968
